Date,BTC,DXY,ETH,GOLD,SP500,NASDAQ,US10Y
2018-01-19,11607.400390625,90.56999969482422,1039.0999755859375,1331.9000244140625,2810.300048828125,6834.330078125,2.63700008392334
2018-01-20,12899.2001953125,90.56999969482422,1155.1500244140625,1331.9000244140625,2810.300048828125,6834.330078125,2.63700008392334
2018-01-21,11600.099609375,90.56999969482422,1049.5799560546875,1331.9000244140625,2810.300048828125,6834.330078125,2.63700008392334
2018-01-22,10931.400390625,90.4000015258789,1003.260009765625,1330.9000244140625,2832.969970703125,6906.27978515625,2.6649999618530273
2018-01-23,10868.400390625,90.12000274658203,986.22900390625,1335.699951171875,2839.1298828125,6963.4599609375,2.624000072479248
2018-01-24,11359.400390625,89.20999908447266,1058.780029296875,1355.9000244140625,2837.5400390625,6919.35009765625,2.6540000438690186
2018-01-25,11259.400390625,89.38999938964844,1056.030029296875,1362.4000244140625,2839.25,6916.2998046875,2.621000051498413
2018-01-26,11171.400390625,89.06999969482422,1055.1700439453125,1351.5999755859375,2872.8701171875,7022.97021484375,2.6619999408721924
2018-01-27,11440.7001953125,89.06999969482422,1107.0699462890625,1351.5999755859375,2872.8701171875,7022.97021484375,2.6619999408721924
2018-01-28,11786.2998046875,89.06999969482422,1246.010009765625,1351.5999755859375,2872.8701171875,7022.97021484375,2.6619999408721924
2018-01-29,11296.400390625,89.30999755859375,1182.3599853515625,1351.5999755859375,2853.530029296875,6988.31982421875,2.6989998817443848
2018-01-30,10106.2998046875,89.19000244140625,1071.1300048828125,1335.4000244140625,2822.429931640625,6930.72998046875,2.7260000705718994
2018-01-31,10221.099609375,89.12999725341797,1118.31005859375,1339.0,2823.81005859375,6949.990234375,2.7200000286102295
2018-02-01,9170.5400390625,88.66999816894531,1036.7900390625,1344.300048828125,2821.97998046875,6901.5,2.7730000019073486
2018-02-02,8830.75,89.19999694824219,915.7849731445312,1333.699951171875,2762.1298828125,6760.2900390625,2.8540000915527344
2018-02-03,9174.91015625,89.19999694824219,964.0189819335938,1333.699951171875,2762.1298828125,6760.2900390625,2.8540000915527344
2018-02-04,8277.009765625,89.19999694824219,834.6820068359375,1333.699951171875,2762.1298828125,6760.2900390625,2.8540000915527344
2018-02-05,6955.27001953125,89.55000305175781,697.9509887695312,1333.0,2648.93994140625,6495.919921875,2.7939999103546143
2018-02-06,7754.0,89.58999633789062,793.1220092773438,1326.0999755859375,2695.139892578125,6665.97998046875,2.7679998874664307
2018-02-07,7621.2998046875,90.26000213623047,757.0679931640625,1311.5999755859375,2681.659912109375,6582.02001953125,2.8440001010894775
2018-02-08,8265.58984375,90.2300033569336,817.8070068359375,1316.9000244140625,2581.0,6306.10009765625,2.8510000705718994
2018-02-09,8736.98046875,90.44000244140625,883.864990234375,1313.0999755859375,2619.550048828125,6412.68017578125,2.8289999961853027
2018-02-10,8621.900390625,90.44000244140625,860.4149780273438,1313.0999755859375,2619.550048828125,6412.68017578125,2.8289999961853027
2018-02-11,8129.97021484375,90.44000244140625,814.6599731445312,1313.0999755859375,2619.550048828125,6412.68017578125,2.8289999961853027
2018-02-12,8926.5703125,90.20999908447266,868.7069702148438,1324.199951171875,2656.0,6523.85009765625,2.8570001125335693
2018-02-13,8598.3095703125,89.69999694824219,845.2579956054688,1328.0999755859375,2662.93994140625,6553.85986328125,2.8399999141693115
2018-02-14,9494.6298828125,89.12000274658203,923.5609741210938,1355.5,2698.6298828125,6675.02978515625,2.9130001068115234
2018-02-15,10166.400390625,88.58999633789062,936.9760131835938,1352.0999755859375,2731.199951171875,6794.919921875,2.8910000324249268
2018-02-16,10233.900390625,89.0999984741211,944.2100219726562,1353.199951171875,2732.219970703125,6770.66015625,2.877000093460083
2018-02-17,11112.7001953125,89.0999984741211,974.114990234375,1353.199951171875,2732.219970703125,6770.66015625,2.877000093460083
2018-02-18,10551.7998046875,89.0999984741211,923.9210205078125,1353.199951171875,2732.219970703125,6770.66015625,2.877000093460083
2018-02-19,11225.2998046875,89.0999984741211,943.864990234375,1353.199951171875,2732.219970703125,6770.66015625,2.877000093460083
2018-02-20,11403.7001953125,89.72000122070312,895.3709716796875,1328.800048828125,2716.260009765625,6779.68994140625,2.8929998874664307
